艘,258
乎,257
棉,257
浮,257
垂,256
桌,256
店,256
置,256
耐,256
井,255
显,255
丈,255
思,255
洋,254
肯,254
伪,254
郭,254
宜,254
寸,253
涂,253
顺,253
互,253
弦,252
竹,251
降,251
述,251
扣,251
止,251
爷,251
迎,250
紫,249
袋,248
朱,248
扔,248
彩,247
雌,247
灌,246
顾,245
己,244
纵,244
款,244
惊,244
影,244
嚷,243
缩,243
瞅,243
凉,243
尊,242
税,242
注,242
冯,241
矿,240
奇,240
塞,239
旗,239
捧,238
兴,238
摘,238
烂,237
催,237
掌,236
迷,236
腔,236
歇,236
肩,235
阳,234
姐,233
池,233
标,232
喷,231
酶,231
宫,231
喘,230
碎,230
矮,230
溶,230
添,230
踢,230
潮,229
踩,229
雄,229
截,229
盒,228
君,227
撒,227
育,227
尤,227
疼,226
吵,226
租,226
炮,226
佛,226
趁,225
独,225
窗,224
街,224
幢,223
撞,223
摔,223
梅,222
脏,222
输,222
废,221
联,221
跨,221
奖,221
创,221
肝,221
稳,220
牵,220
凹,220
皱,220
刮,219
鼠,219
奔,219
窝,219
残,219
扛,218
坡,217
饮,217
拟,216
巧,216
臭,216
绳,215
剪,215
寄,215
哈,214
附,214
梢,214
聚,214
摄,213
婚,213
庙,212
脉,212
术,212
咳,212
夺,212
攻,211
旅,211
迁,211
狼,211
丛,211
伴,210
疏,210
谱,210
乳,209
仗,209
磁,209
桩,209
岩,209
州,208
杆,207
砖,206
兔,206
硫,206
郑,206
缘,206
溜,206
奉,205
粘,205
招,205
否,205
染,205
尝,204
讨,204
呐,204
凸,203
伯,203
砍,203
票,203
消,203
浪,202
府,202
岸,202
辞,202
阻,201
扫,201
幕,201
蒙,200
祭,200
亏,200
欧,200
渔,199
摊,199
锋,199
洪,198
唔,198
嘿,198
炉,197
盏,197
抵,196
击,196
晶,196
逐,196
炎,196
订,195
拜,195
愁,195
赛,195
麻,195
梁,194
扬,194
销,194
叔,194
触,194
堵,193
傻,193
锁,193
拆,193
帐,193
拔,193
鼻,193
鸭,193
铀,192
谋,192
操,192
裂,192
柳,192
箱,192
槽,192
砸,191
忽,191
厅,190
册,190
炸,190
俗,189
鹿,189
港,189
魏,189
征,189
捏,189
渐,188
录,188
仪,187
缓,186
私,186
蚕,186
宝,186
锅,186
驴,185
嫁,185
败,185
护,185
肠,185
煮,185
肌,184
堂,184
尿,184
园,184
序,184
耕,183
胶,183
咽,183
炼,183
季,183
递,183
帽,182
汪,182
限,182
丑,181
咧,181
叠,181
甩,181
突,180
凑,180
捆,180
剧,180
雷,180
镁,179
匀,179
邪,179
免,179
速,179
景,179
跪,178
倾,178
误,178
沪,178
奏,178
窄,177
抛,177
钙,177
臂,177
慌,176
饱,176
冠,176
粪,175
挥,175
焦,175
庄,175
闯,175
兽,175
桂,175
扁,174
飘,174
导,173
卡,173
铅,173
震,173
闲,173
眉,172
沾,172
坑,171
晃,171
沈,171
索,171
扭,171
裹,170
织,170
柴,170
怨,170
役,169
钩,169
评,169
拣,169
栽,168
士,168
颈,168
玉,168
巨,168
炒,168
悬,168
惹,168
痰,167
避,167
熊,167
摩,167
桶,167
欠,167
睁,166
涨,166
歪,166
娶,166
拳,165
亡,165
俄,164
胚,164
予,164
弓,164
肿,164
促,164
浸,163
参,163
塔,163
财,163
迈,163
瓜,163
垫,163
瓦,163
袁,162
咋,161
助,161
耍,161
剑,161
穗,161
译,161
丙,161
珠,160
舍,160
训,159
捕,159
麦,159
氨,159
刷,159
穴,158
凶,158
捞,158
惟,158
惯,158
挣,157
贼,157
妙,157
奶,157
劳,157
赤,157
程,157
赋,156
呼,155
充,155
弃,155
智,155
瞎,155
邻,155
骗,154
邓,154
径,154
蟹,154
氯,153
缠,153
拾,152
藻,152
唇,152
晋,152
备,152
谢,151
闷,150
荒,150
隐,150
兜,150
范,150
络,150
纹,150
职,149
唯,149
稿,149
霜,149
灶,149
猜,149
洒,149
赚,149
鸣,149
墓,148
圣,148
杜,148
司,148
稻,148
胎,148
秧,147
籍,147
构,147
探,147
墨,147
阔,147
撑,147
访,146
盼,146
愣,146
毁,146
库,146
箭,145
敬,145
卧,145
筑,145
搁,145
涌,145
钉,145
撤,144
炕,144
福,144
资,144
跌,144
漏,144
承,144
掏,143
纳,143
遮,143
俱,143
竖,142
艺,142
瞒,142
帝,142
泛,142
激,142
脾,142
辨,141
席,141
曹,141
勤,140
熬,140
滞,140
购,140
耗,140
怒,139
困,139
抄,139
吾,139
咦,139
检,139
川,139
峰,138
陷,138
友,137
卫,137
潜,137
债,137
钾,137
宗,136
码,136
嗨,136
齿,136
腺,136
版,135
砂,135
